group,Sleep,Personal Care,Household Activities,Work,Education,Shopping,Eating/Drinking,Leisure,Athletics,Other
Sunday,7.214468766,1.051341371,0.593489235,0.56166355,7.546249675,0.559108447,1.570227223,2.084492366,1.979016782,0.839942585
Monday,7.767459116,1.048598682,0.512649259,0.497672462,7.194056422,0.522749732,1.606860199,1.894290148,1.964133869,0.991530111
Tuesday,8.14491287,0.816725236,0.557333222,0.49908133,6.553796097,0.558199687,1.519876717,2.075867717,2.37465659,0.899550534
Wednesday,7.413340905,0.98434769,0.600756501,0.4936045,7.505759568,0.506716913,1.314708967,2.200504499,2.167156518,0.813103939
Thursday,7.173028064,1.099827691,0.55695746,0.473858824,7.140757473,0.552523956,1.531647346,2.290252313,2.148305943,1.03284093
Friday,8.963631916,0.812883086,0.708114648,0.433559362,5.911412976,0.461716146,1.65478629,2.381612667,1.65302116,1.01926175
Saturday,8.389055408,0.919900057,0.694650287,0.518786225,6.181373492,0.428101456,1.623195982,1.963902245,2.316143656,0.964891192
